Row,FL,X,Y,Z,X1,Y1,Z1,,,
1,a,-13.2,11.6,14.2,-19.28,10.05,22.14,,,
3,a,-8.8,3.5,13.7,-7.68,4.17,11.83,,,
5,a,-9.1,3,13.8,-1.9,-8.39,20,,,
7,a,-12,8.1,11.1,-1.02,9.69,7.37,,,
9,a,-18.5,4,13.9,-17.87,4.16,13.27,,,
11,a,-18.7,3.6,14.1,-25.2,-11.58,18.52,,,
13,a,-17.1,6.6,10.8,-28.98,2.05,14.58,,,
15,a,-13,6.4,2.6,-5.07,-0.86,6.87,,,
17,a,-23,3.5,-1.5,-23.07,3.08,-1.25,,,
19,a,-21,4.2,-2.6,-37.28,-2.24,-5.77,,,
21,a,-13.1,7,1.2,-0.02,-3.89,3.06,,,
23,a,-17.7,8.1,-0.2,-17.55,10.52,0.29,,,
25,a,-17.4,8,-0.5,-24.93,-1.68,13.74,,,
27,a,-16.1,10.2,-5.9,-14.38,22.19,-20.12,,,
29,a,-10.3,32.4,23,-10.54,32.77,22.73,,,
31,a,-10.4,32.4,23.5,-12.87,26.02,35.46,,,
33,a,-12.6,34.9,19.7,-8.02,43.12,13.01,,,
35,a,-12.7,33.5,18.8,-15.29,43.41,12.59,,,
37,a,1.2,27.4,35.7,2.5,23.76,38.87,,,
39,a,15,27.6,40,22.28,22.17,40.51,,,
41,a,7.3,27.4,48.7,7.14,26.88,48.6,,,
43,a,7.4,27.2,48.6,2.18,20.84,61.97,,,
45,a,15.6,35.4,48.1,11.57,33.29,55,,,
47,a,20.1,35.5,44,27.85,32.57,43.86,,,
49,a,13.6,38.6,48,6.21,32.72,58.53,,,
51,a,16.4,39.1,46.4,21.66,38.25,49.82,,,
53,a,10.8,41.8,46.6,-3.48,41.51,46.2,,,
55,a,12.4,39.6,47.5,5.76,35.24,55.75,,,
57,a,20.5,19.3,46,30.88,6.7,49.29,,,
59,a,20.6,30.5,60.1,27.45,31.57,54.67,,,
61,a,15.9,29.8,62.3,15.24,29.24,62.63,,,
63,a,16.7,30.1,61.3,10.31,28.18,69.23,,,
65,a,20.4,28.8,65,25.95,20.86,71.58,,,
67,a,19,33.7,61.3,25.39,32.96,63.41,,,
69,a,15.9,35.2,65.9,15.14,39.14,79.75,,,
71,a,20.2,33.3,65.4,30.21,25.69,74.77,,,
73,a,27.3,34.9,46.9,36.14,44.45,44.42,,,
75,a,27.1,35.7,46.4,28.56,30.9,50.95,,,
77,a,31.7,36.6,44.5,41.96,36.97,43.14,,,
79,a,30.5,36.1,44,33.73,31.38,46.01,,,
81,a,30.2,36,41.2,38.44,35.93,31.25,,,
83,a,32.3,39.3,42.6,46.33,38.96,40.83,,,
