Row,FL,X,Y,Z,X1,Y1,Z1
1,a,-13.6,89.8,-3.3,-5.23,88.43,-7.53
3,a,-17.6,94.1,-6.5,-7.01,91.23,-7.84
5,a,-12.5,71,-9.9,-13.19,64.82,-10.29
7,a,-40.1,90.3,-6.5,-48.9,84.26,-7.86
9,a,-27.7,98.5,-13.9,-15.5,101.17,-22.28
11,a,-24.5,84.6,-26.9,-19.9,67.53,-23.86
13,a,-22.1,103.6,-17.3,-6.85,96.67,-11.66
15,a,-36.2,101.7,-23.4,-52.26,83.87,-29.49
17,a,-32.1,100.3,-23.8,-43.17,79.69,-40.73
19,a,-17.4,99,-23.4,-7.91,90.29,-20.5
21,a,-32,102.1,-27.8,-38.27,83.89,-41.49
23,a,-30.3,109.6,-23.8,-26.58,114.36,-28.03
25,a,-34.7,105.2,-23,-43.31,90.87,-17.95
27,a,-28.2,108.7,-25.7,-8.92,105.53,-24.44
29,a,-27.6,108.9,-28.6,-40.12,101.73,-42.24
31,a,-32.6,70.4,-5.7,-38.86,66.98,-4.76
33,a,-18.1,68.2,-20.3,-6.99,64.32,-16.13
35,a,-17.4,67.3,-19.3,-19.9,71.24,-16.49
37,a,-11.9,67,-21.5,-5.48,61.47,-22.06
39,a,-19.8,69.6,-17.9,-30.73,69.57,-14.19
41,a,-18,71.1,-26.6,-11.42,71.41,-28.19
43,a,-16.9,73.4,-24.4,-7.8,73.43,-21.3
45,a,-19.8,71.9,-26,-25.16,71.13,-36.18
47,a,-28.7,54,-32.3,-17.86,52.09,-33.04
49,a,-45.6,57.6,-31.8,-51.34,47.24,-37.64
51,a,-28.8,55.2,-38.1,-23.32,54.28,-39.14
53,a,-34.8,56.8,-37.7,-37.29,49.15,-44.3
55,a,-33.5,61.2,-35.4,-27.3,65.73,-33.81
57,a,-36,56.9,-46.2,-49.35,56.26,-56.1
59,a,-50.7,49,-40.7,-53.68,41.03,-44.98
61,a,-53,51.5,-35.5,-57.63,47.36,-31.72
63,a,-54.9,48.7,-38.3,-57.68,43.04,-40.83
65,a,-39.2,45.7,-45.2,-40.64,34.54,-46.29
67,a,-36.7,59.5,-51.3,-27.89,64.73,-56.95
69,a,-50.5,53.8,-46.6,-57.59,45.06,-54.28
71,a,-31,60.1,-57.1,-23.28,52.59,-69.62
73,a,-36.3,60.7,-59.5,-47.7,58.03,-62.35
75,a,-28.7,62.6,-63,-15.53,50.68,-68.84
77,a,-38.7,59.2,-68.9,-48.9,51.7,-77.76
79,a,-33.2,62,-69.6,-27.87,59.22,-77.95
81,a,-46.9,60.5,-64.3,-53.66,56.5,-68.03
83,a,-39.8,64.3,-71.2,-41.69,61.68,-82.77
85,a,-34.8,67.2,-69.7,-28.11,67.52,-74.58
87,a,-36,66.7,-68.7,-46.68,68.52,-74.31
89,a,-20.1,56.3,18.9,-12.99,47.19,19.28
91,a,-26,48.6,14.3,-19.35,52.68,20.81
93,a,-27.7,38.7,6.4,-26.7,28.75,-1.59
95,a,-23.6,48.4,7.3,-18.85,40.91,6.24
97,a,-25.4,53.8,4.3,-34.42,61.57,5.58
99,a,-37.9,37.5,-4.5,-36.36,32.42,-5.3
101,a,-43.2,39.9,-22.1,-41.47,37.29,-24.17
103,a,-43.3,48.4,1.4,-53.93,45.31,0.27
105,a,-42.7,34.4,-1.3,-48.44,20.81,0.61
107,a,-42.3,37.7,-2.2,-48.53,28.2,0.37
109,a,-41.8,50.4,0.2,-38.52,53.55,-3.97
111,a,-54.7,35.2,-3.7,-63.44,24.23,-5.44
113,a,-45.8,61,-0.8,-53.06,61.74,-16.51
115,a,-47.6,40.1,-0.9,-45.19,37.76,-0.37
117,a,-51.3,42,3.3,-63.02,26.56,7.97
119,a,-20.7,43.7,-14.2,-16.9,43.88,-8.93
121,a,-30.8,36,-27.4,-31.36,27.56,-26.84
123,a,-14.7,36.3,-25.3,-10.06,24.18,-28.36
125,a,-12.3,42.6,-31,-5.07,28.77,-39.64
127,a,-29.4,35,-39.2,-35.48,23.05,-40.16
129,a,-25.2,34.7,-42.9,-30.15,29.92,-49.09
131,a,-27.2,38.2,-44.1,-27.85,29,-39.79
133,a,-20.1,31.1,-45.8,-15.79,21.3,-49.33
135,a,-17.4,62.2,-40.6,-35.58,58.69,-43.57
137,a,-9.8,58.8,-42.1,-2.71,54.2,-45.98
139,a,-12.8,62.1,-42,-17.45,66.72,-47.73
141,a,-9.6,55.6,-45.6,-6.59,23.4,-51.9
143,a,-9.8,60.9,-50.7,-11.4,60.17,-50.67
145,a,-24.7,38.3,-60.7,-25.53,34.6,-68.61
147,a,-1.8,51.4,-53.5,6.17,46.86,-51.62
149,a,-13,33.2,-65,-13.6,30.62,-70.18
151,a,-5.3,52.2,-53.2,-9.2,57.01,-53.55
153,a,-2.8,26.4,-61.6,-4.85,20.52,-57.24
155,a,-5.6,28,-64.1,-5.66,23.67,-69.91
157,a,-13.4,57.5,-40.9,-6.14,59.75,-38.41
159,a,-8.2,66.4,-46.8,3.23,56.63,-49.1
161,a,-10.4,66,-48.7,-10.76,77.47,-60.34
163,a,-21.7,70.2,-52.1,-30.64,56.97,-56.63
165,a,-8.6,60.3,-57.3,-20.69,41.59,-74.25
167,a,-11.8,71.3,-50.2,-7.69,75.7,-46.63
169,a,-9.2,67.1,-53.3,-1.75,58.57,-59.95
171,a,-18.7,72.3,-54.4,-25.92,69.3,-63.82
173,a,-14.1,78.6,-60.9,-7.44,81.52,-75.23
175,a,-29,85.5,-1.3,-10.51,81.43,-0.69
177,a,-30.3,65.8,-0.9,-28.83,59.26,8.5
179,a,-31.2,74.3,-28.6,-29.08,64.71,-27.25
181,a,-43.3,73.2,-33.3,-50.66,61.4,-39.48
183,a,-46.7,71.8,-31,-53.23,65.95,-35.76
185,a,-41.8,68.5,-33.4,-38.93,55.07,-31.04
187,a,-52,81,-33.8,-44.5,92.81,-23.45
189,a,-40.5,75.6,-36.2,-38.37,80.28,-42.05
191,a,-48.8,87.3,-23.8,-57.09,73.33,-18.5
193,a,-37.8,67.2,-28.5,-36.81,54.3,-31.78
195,a,-37.3,93.2,-28.4,-19.11,86.1,-17.29
197,a,-57.2,78.6,-25.9,-61.02,70.57,-34.29
199,a,-52.1,83.2,-25.5,-60.41,82.19,-24.44
201,a,-53.8,82.4,-32.7,-57.05,96.5,-20.47
203,a,-43.3,70,-32.7,-38.69,58.97,-33.93
205,a,-45.8,90.2,-38.6,-40.87,91.19,-36.82
207,a,-47.9,73.4,-33.2,-49.55,71.38,-36.42
209,a,-47,74.9,-32,-49.94,74.48,-34.72
211,a,-45,72.7,-33.6,-45.91,62.11,-36.67
213,a,-44.3,73.4,-30,-40.89,65.92,-33.02
215,a,-53.8,83.1,-32.9,-54.87,82.15,-32.68
217,a,-39.1,89.1,-38.7,-34.49,92.64,-34.56
219,a,-42.5,87.9,-39.3,-41.21,88.57,-37.34
221,a,-45.8,85.5,-46.2,-53.65,79.43,-54.52
223,a,-51.3,85.6,-27.8,-54.58,89.85,-19.42
225,a,-49.3,86.3,-41.9,-46.36,78.97,-47.69
227,a,-53.3,87.3,-39.6,-58.25,82.5,-40.83
229,a,-51.1,107.7,-34.2,-56.36,103.62,-14.44
231,a,-59.1,98.8,-36.8,-64.37,95.27,-47.21
233,a,-54.4,101.5,-39.5,-63.83,98.39,-38.23
235,a,-46.7,100.8,-43,-35.55,88.08,-44.43
237,a,-41,75.7,19,-51.56,72.23,20.61
239,a,-36.4,79,9.4,-24.48,86.37,0.36
241,a,-34.4,90.1,3.2,-42.44,86.58,8.02
243,a,-27.8,95.9,-13.1,-14.25,97.5,-8.78
245,a,-30.1,93.4,-10.5,-47.32,81.21,3.09
247,a,-26.4,95.6,-10.3,-16.94,89.22,-14.01
249,a,-13.3,85.7,-12.4,-10.81,73.73,-9.78
251,a,-36.6,89.2,5.8,-36.68,85.9,16.28
253,a,-19.6,96.4,-5.6,-8.5,92.9,-6.25
255,a,-27.9,95.5,-5,-34.72,88.39,1.14
257,a,-21.3,94.1,-3.8,-11.38,83.12,5.65
259,a,-26.4,94,-0.8,-28.19,88.77,11.49
261,a,-26.9,75.1,-27.8,-18.83,72.54,-27.17
263,a,-34.8,78,-30.8,-51.99,81.85,-33.47
265,a,-42.8,87.9,-11.2,-42.62,84.69,-4.26
267,a,-48.8,85.4,-25.3,-60.88,86.31,-23.01
269,a,-58.1,81.1,-11.3,-61.36,79.07,-0.47
271,a,-60,78.3,-13.1,-61.72,70.55,-5.87
273,a,-50.5,71,-25,-47.43,60.43,-18.66
275,a,-60,77.9,-11.7,-61.89,71.23,-2.18
277,a,-57.2,74.4,-19.6,-51.67,68,-26.77
279,a,-66,75.3,-20.3,-68.25,69.59,-23.43
281,a,-67.4,79.3,-17.1,-71.31,74.49,-21.25
283,a,-61.6,80.4,-31.2,-61.02,72.24,-32.37
285,a,-66,71,-23.1,-66.77,66.22,-28.95
287,a,-68.8,69.8,-19.5,-69.89,70.61,-14.73
289,a,-72.7,66.5,-22,-74.52,60.94,-26.58
291,a,-76.2,65,-24.8,-76.4,53.19,-27.25
293,a,-73.6,62.2,-26.1,-83.21,53.12,-23.18
295,a,-72.4,61,-21.5,-81.6,54.55,-24.34
