Row,FL,X,Y,Z,X1,Y1,Z1
1,a, -305.5, 202.2, 544.1,-299.51, 207.29, 541.29
3,a, -295.6, 208.1, 566.1,-288.26, 216.26, 567.52
5,a, -306.6, 205.5, 553.1,-314.41, 209.17, 560.08
7,a, -309.9, 198.6, 549.8,-311.47, 192.11, 554.73
9,a, -284.2, 220.8, 553.1,-281.08, 231.87, 546.48
11,a, -284.3, 222.0, 553.2,-283.83, 235.48, 552.71
13,a, -293.8, 203.8, 547.9,-293.77, 206.32, 544.20
15,a, -292.6, 202.1, 550.2,-292.47, 199.31, 544.49
17,a, -288.7, 206.0, 558.6,-290.33, 209.37, 559.92
19,a, -290.5, 204.3, 550.6,-291.77, 210.82, 544.66
21,a, -288.0, 197.8, 562.0,-288.75, 206.40, 571.11
23,a, -286.9, 204.1, 559.1,-284.46, 212.78, 557.04
25,a, -290.6, 196.3, 552.0,-287.18, 207.79, 539.38
27,a, -293.5, 219.4, 542.8,-289.27, 225.27, 537.15
29,a, -296.7, 218.1, 555.1,-299.05, 230.89, 556.62
31,a, -291.9, 236.4, 562.4,-293.31, 243.11, 571.67
33,a, -288.2, 233.0, 538.2,-297.24, 239.58, 526.88
35,a, -271.6, 234.1, 533.3,-274.43, 238.51, 542.14
37,a, -257.8, 238.7, 537.3,-251.14, 239.21, 541.80
39,a, -256.0, 232.5, 530.8,-253.67, 230.10, 540.74
41,a, -247.9, 232.8, 529.6,-242.32, 241.64, 540.56
43,a, -248.5, 232.1, 513.6,-246.57, 235.16, 504.72
45,a, -243.8, 235.3, 530.4,-236.71, 241.18, 536.46
47,a, -247.4, 228.9, 523.2,-249.20, 222.84, 523.27
49,a, -241.9, 237.4, 535.6,-241.68, 243.00, 542.14
51,a, -244.5, 227.9, 512.8,-244.71, 234.89, 505.40
53,a, -236.2, 228.5, 514.2,-223.37, 226.96, 510.62
55,a, -245.8, 223.5, 524.4,-256.64, 241.67, 542.50
57,a, -232.8, 228.2, 533.5,-229.11, 241.68, 539.30
59,a, -237.4, 224.2, 511.2,-240.40, 234.79, 506.90
61,a, -225.6, 231.1, 523.3,-219.14, 234.94, 522.55
63,a, -238.4, 220.1, 528.0,-242.42, 231.99, 530.83
65,a, -239.4, 214.0, 519.8,-245.73, 230.25, 513.79
67,a, -224.8, 215.4, 534.1,-224.81, 232.47, 533.30
69,a, -230.3, 207.5, 519.7,-235.61, 225.57, 510.15
71,a, -229.3, 213.4, 512.2,-232.08, 232.17, 509.85
73,a, -339.7, 225.6, 527.3,-336.12, 229.27, 525.71
75,a, -332.6, 229.8, 525.4,-322.68, 237.79, 521.02
77,a, -327.9, 218.9, 513.9,-321.94, 224.66, 512.27
79,a, -329.5, 220.5, 505.5,-332.02, 223.41, 495.27
81,a, -327.0, 222.6, 509.4,-321.86, 226.36, 509.16
83,a, -338.3, 228.2, 498.4,-336.72, 232.06, 494.36
85,a, -340.4, 229.5, 498.1,-344.01, 230.88, 494.56
87,a, -337.3, 226.0, 498.3,-340.01, 228.20, 493.52
89,a, -321.8, 223.7, 502.9,-319.41, 227.61, 493.10
91,a, -320.4, 226.3, 503.5,-319.53, 234.58, 493.92
93,a, -345.3, 226.5, 519.6,-349.76, 230.87, 517.49
95,a, -344.3, 235.0, 518.2,-347.83, 236.64, 496.77
97,a, -337.2, 234.3, 521.3,-329.81, 240.07, 520.77
99,a, -343.2, 234.4, 515.7,-340.36, 236.03, 513.11
101,a, -343.0, 236.0, 514.7,-342.95, 236.99, 508.53
103,a, -344.6, 234.8, 517.0,-340.77, 236.73, 514.64
105,a, -348.3, 235.4, 516.8,-361.29, 236.28, 498.82
